Altitude (m),Vitesse du vent (m/s),Masse volumique (kg/m^3)
27017.90273097623,18.782707701179326,0.0026279180861864715
27630.966810566373,18.83050055323844,0.0023970345768853218
28257.14064349979,18.878233003145457,0.002182140702610326
28896.72644388862,18.925908075722887,0.0019825196042511616
29549.944644195028,18.97352228980151,0.0017974803864675003
30217.09124818351,19.021077449105146,0.0016263105380593741
30898.41011870373,19.068571265762813,0.0014683160704639505
31594.16881656833,19.116002910255904,0.001322802350972315
32304.604883699678,19.163369314154725,0.0011890886115016102
33029.97642292734,19.210668676367145,0.0010664991728020722
33770.558639587834,19.25790011482159,0.0009543681557653456
34526.60582086258,19.305061223570643,0.0008520476935505875
35298.42311876174,19.35215257046548,0.0007588999775277231
36086.31768524926,19.399174494473325,0.0006743072592706612
36890.521108546294,19.44612264541622,0.0005976799732851089
37711.36957075633,19.49299866447796,0.0005284394675706144
