TIME_NANOSECONDS_TAI ,truth_pos_CON_ECEF_ECEF_M[1] ,truth_pos_CON_ECEF_ECEF_M[2] ,truth_pos_CON_ECEF_ECEF_M[3] ,truth_vel_CON_ECEF_ECEF_MpS[1] ,truth_vel_CON_ECEF_ECEF_MpS[2] ,truth_vel_CON_ECEF_ECEF_MpS[3] ,truth_quat_CON2ECEF[1] ,truth_quat_CON2ECEF[2] ,truth_quat_CON2ECEF[3] ,truth_quat_CON2ECEF[4]
115.00054025650024,-1394195.08842374,-5293004.4157374,3322972.31847543,-148.885396617704,-562.911980629773,367.951912811609,-0.454494360760971,-0.174816308200953,0.498285949190723,0.717345974508812
116.00055027008057,-1394345.29117008,-5293573.19115332,3323344.02951733,-151.612732628984,-574.988199737113,375.683197471029,-0.453909817833076,-0.173611067802496,0.498659313451807,0.717749234414653
117.00055027008057,-1394498.26215521,-5294154.10269014,3323723.53085557,-154.432150959093,-587.21960500468,383.526381715439,-0.454033810355114,-0.172557078822871,0.49904276484184,0.717658465003625
118.00056028366089,-1394654.13865312,-5294747.32327079,3324110.98680797,-157.401258217019,-599.612760700413,391.565694902073,-0.454747552251592,-0.171640180573609,0.499437598564807,0.717151585963687
119.00056028366089,-1394813.05785783,-5295353.07497816,3324506.51637766,-160.49941400711,-612.26084610492,399.67212998658,-0.45685094374011,-0.172034623995165,0.498920036628028,0.716079674566501
120.00057029724121,-1394975.0979789,-5295971.63990827,3324910.12741736,-163.669771332697,-625.288679165752,407.705067442052,-0.459850524527561,-0.173482709506283,0.497583514893859,0.714739036153718
121.00057029724121,-1395140.38578188,-5296603.40000837,3325321.7463794,-166.988836580545,-638.653038593268,415.699277657004,-0.463267208594611,-0.173422964976551,0.496722451531036,0.713144287447352
122.00058007240295,-1395309.06324966,-5297248.68064387,3325741.38731334,-170.45631600725,-652.28324299426,423.762320173323,-0.464068932296803,-0.172541704972316,0.496638502361593,0.712895212486977
123.00058007240295,-1395481.2447408,-5297907.65566889,3326169.17158225,-173.99004781558,-666.080201078136,432.026688503331,-0.462253016817497,-0.171544810339236,0.49707461379587,0.71401075237898
124.00058007240295,-1395656.99332412,-5298580.52142523,3326605.40779264,-177.582334001531,-680.012570829657,440.639964058727,-0.460131453860238,-0.170642650666692,0.497713895754777,0.715151039191398
125.00059008598328,-1395836.32969785,-5299267.36582664,3327050.33825519,-181.190677078557,-694.072039620544,449.44437547238,-0.459810033918166,-0.170550968910758,0.497918665863696,0.715237094816726
126.00059008598328,-1396019.3201652,-5299968.39768393,3327504.15226223,-184.909406259149,-708.401061574212,458.359977121769,-0.461168903016892,-0.170512201638965,0.497844243706614,0.714422802647106
127.0006000995636,-1396206.08471044,-5300683.90826751,3327966.87573457,-188.729711487763,-723.017286468706,467.292888421359,-0.462968581470596,-0.170486380268236,0.497282087955035,0.713656087836035
128.0006000995636,-1396396.71219572,-5301414.1609698,3328438.60322401,-192.633603289809,-737.86980591164,476.361472044029,-0.462367424678225,-0.169953858710735,0.497222411820827,0.71421420000701
129.00061011314392,-1396591.2548653,-5302159.3311031,3328919.49600615,-196.571409472339,-752.888222542861,485.650209100785,-0.460711870540904,-0.169336955792168,0.497527888080814,0.715217147643469
130.00061011314392,-1396789.76468053,-5302919.61599462,3329409.78701624,-200.559444381981,-768.079400319448,495.172896724015,-0.459784757072121,-0.168835717529429,0.497866040903764,0.715696781428452
131.00062012672424,-1396992.31284687,-5303695.17990645,3329909.66537642,-204.650313125212,-783.461633720055,504.828400339563,-0.460445254298395,-0.16848090059579,0.497918179297248,0.715319397635146
132.00062012672424,-1397198.99591649,-5304486.26664438,3330419.2989409,-208.751640421387,-798.795296118853,514.446696600529,-0.46081518591169,-0.168498929450012,0.497743753252892,0.715198316062491
133.00063014030457,-1397409.363199,-5305291.1195455,3330937.5599879,-212.042581791152,-811.140785960107,522.183818793822,-0.46019616659848,-0.16908035004478,0.496940391713691,0.716017856104661
134.00063014030457,-1397621.75170214,-5306103.72381207,3331460.66054246,-213.894835348423,-818.307864356288,526.676996299927,-0.458695509083482,-0.17006901337215,0.495250997607545,0.717914625800482
135.0006401538849,-1397835.40693785,-5306921.22978824,3331986.82402354,-214.247548122307,-819.764306564452,527.592906827615,-0.45811774508399,-0.169088828939891,0.493741117887705,0.719553200251148
136.0006401538849,-1398049.7479253,-5307741.31821358,3332514.60765687,-213.943962287594,-818.547156902641,526.855275088416,-0.458506957874865,-0.167109024942269,0.492549509267698,0.720583738513014
137.0006504058838,-1398264.19574222,-5308561.67232599,3333042.56707718,-213.697609226378,-817.396693245041,526.17257655465,-0.459692867349851,-0.165044456841049,0.492415244408308,0.720395739807584
138.0006504058838,-1398478.17082238,-5309379.98211974,3333569.26451205,-213.492759270416,-816.279159070514,525.495216731538,-0.461177178657541,-0.163796560593563,0.492832919691063,0.719445626727457
